indicator, indicator.label
"EMP_PIFL_SEX_ECO_NB","Employment outside the formal sector by sex and economic activity (thousands)"
"EMP_PIFL_SEX_ECO_EDU_NB","Employment outside the formal sector by sex, economic activity and education (thousands)"
"EMP_PIFL_SEX_ECO_GEO_NB","Employment outside the formal sector by sex, economic activity and rural / urban areas (thousands)"
"EMP_PIFL_SEX_ECO_MTS_NB","Employment outside the formal sector by sex, economic activity and marital status (thousands)"
"EMP_PIFL_SEX_ECO_DSB_NB","Employment outside the formal sector by sex, economic activity and disability status (thousands)"
"EMP_PIFL_ECO_OCU_NB","Employment outside the formal sector by economic activity and occupation (thousands)"
"EMP_PIFL_SEX_ECO_INS_NB","Employment outside the formal sector by sex, economic activity and public/private sector (thousands)"
"EMP_PIFL_SEX_ECO_EST_NB","Employment outside the formal sector by sex, economic activity and establishment size (thousands)"
"EMP_PIFL_SEX_EC2_NB","Employment outside the formal sector by sex and economic activity - ISIC level 2 (thousands)"
"EMP_PIFL_AGE_EC2_NB","Employment outside the formal sector by age and economic activity - ISIC level 2 (thousands)"
"EMP_PIFL_SEX_OCU_NB","Employment outside the formal sector by sex and occupation (thousands)"
"EMP_PIFL_SEX_OCU_EDU_NB","Employment outside the formal sector by sex, occupation and education (thousands)"
"EMP_PIFL_SEX_OCU_GEO_NB","Employment outside the formal sector by sex, occupation and rural / urban areas (thousands)"
"EMP_PIFL_SEX_OCU_MTS_NB","Employment outside the formal sector by sex, occupation and marital status (thousands)"
"EMP_PIFL_SEX_OCU_DSB_NB","Employment outside the formal sector by sex, occupation and disability status (thousands)"
"EMP_PIFL_SEX_OCU_INS_NB","Employment outside the formal sector by sex, occupation and public/private sector (thousands)"
"EMP_PIFL_SEX_OCU_EST_NB","Employment outside the formal sector by sex, occupation and establishment size (thousands)"
"EMP_PIFL_SEX_OC2_NB","Employment outside the formal sector by sex and occupation - ISCO level 2 (thousands)"
"EMP_PIFL_AGE_OC2_NB","Employment outside the formal sector by age and occupation - ISCO level 2 (thousands)"
"EMP_PIFL_SEX_INS_NB","Employment outside the formal sector by sex and public/private sector (thousands)"
"EMP_PIFL_SEX_INS_GEO_NB","Employment outside the formal sector by sex, public/private sector and rural/urban areas (thousands)"
"EMP_PIFL_SEX_INS_MTS_NB","Employment outside the formal sector by sex, public/private sector and marital status (thousands)"
"EMP_PIFL_SEX_INS_DSB_NB","Employment outside the formal sector by sex, public/private sector and disability status (thousands)"
"EMP_PIFL_SEX_EST_NB","Employment outside the formal sector by sex and establishment size (thousands)"
"EMP_PIFL_SEX_EST_GEO_NB","Employment outside the formal sector by sex, establishment size and rural / urban areas (thousands)"
"EMP_PIFL_SEX_EST_MTS_NB","Employment outside the formal sector by sex, establishment size and marital status (thousands)"
"EMP_PIFL_SEX_EST_DSB_NB","Employment outside the formal sector by sex, establishment size and disability status (thousands)"
"EMP_PIFL_SEX_STE_NB","Employment outside the formal sector by sex and status in employment (thousands)"
"EMP_PIFL_SEX_HOW_NB","Employment outside the formal sector by sex and weekly hours actually worked (thousands)"
"EMP_PIFL_SEX_RT","Share of employment outside the formal sector by sex (%)"
"EMP_PIFL_SEX_AGE_RT","Share of employment outside the formal sector by sex and age (%)"
"EMP_PIFL_SEX_AGE_EDU_RT","Share of employment outside the formal sector by sex, age and education (%)"
"EMP_PIFL_SEX_AGE_GEO_RT","Share of employment outside the formal sector by sex, age and rural / urban areas (%)"
"EMP_PIFL_SEX_AGE_MTS_RT","Share of employment outside the formal sector by sex, age and marital status (%)"
"EMP_PIFL_SEX_AGE_DSB_RT","Share of employment outside the formal sector by sex, age and disability status (%)"
"EMP_PIFL_SEX_EDU_RT","Share of employment outside the formal sector by sex and education (%)"
"EMP_PIFL_SEX_EDU_GEO_RT","Share of employment outside the formal sector by sex, education and rural / urban areas (%)"
"EMP_PIFL_SEX_EDU_MTS_RT","Share of employment outside the formal sector by sex, education and marital status (%)"
"EMP_PIFL_SEX_EDU_DSB_RT","Share of employment outside the formal sector by sex, education and disability status (%)"
"EMP_PIFL_SEX_GEO_RT","Share of employment outside the formal sector by sex and rural / urban areas (%)"
"EMP_PIFL_SEX_GEO_MTS_RT","Share of employment outside the formal sector by sex, rural / urban areas and marital status (%)"
"EMP_PIFL_SEX_GEO_DSB_RT","Share of employment outside the formal sector by sex, rural / urban areas and disability status (%)"
"EMP_PIFL_SEX_MTS_RT","Share of employment outside the formal sector by sex and marital status (%)"
"EMP_PIFL_SEX_MTS_DSB_RT","Share of employment outside the formal sector by sex, marital status and disability status (%)"
"EMP_PIFL_SEX_DSB_RT","Share of employment outside the formal sector by sex and disability status (%)"
"EMP_PIFL_SEX_AGE_ECO_RT","Share of employment outside the formal sector by sex, age and economic activity (%)"
"EMP_PIFL_SEX_AGE_OCU_RT","Share of employment outside the formal sector by sex, age and occupation (%)"
"EMP_PIFL_SEX_AGE_INS_RT","Share of employment outside the formal sector by sex, age and public/private sector (%)"
"EMP_PIFL_SEX_AGE_JOB_RT","Share of employment outside the formal sector by sex, age and working time arrangement (%)"
"EMP_PIFL_SEX_ECO_RT","Share of employment outside the formal sector by sex and economic activity (%)"
"EMP_PIFL_SEX_ECO_EDU_RT","Share of employment outside the formal sector by sex, economic activity and education (%)"
"EMP_PIFL_SEX_ECO_GEO_RT","Share of employment outside the formal sector by sex, economic activity and rural / urban areas (%)"
"EMP_PIFL_SEX_ECO_MTS_RT","Share of employment outside the formal sector by sex, economic activity and marital status (%)"
"EMP_PIFL_SEX_ECO_DSB_RT","Share of employment outside the formal sector by sex, economic activity and disability status (%)"
"EMP_PIFL_ECO_OCU_RT","Share of employment outside the formal sector by economic activity and occupation (%)"
"EMP_PIFL_SEX_ECO_INS_RT","Share of employment outside the formal sector by sex, economic activity and public/private sector (%)"
"EMP_PIFL_SEX_ECO_EST_RT","Share of employment outside the formal sector by sex, economic activity and establishment size (%)"
"EMP_PIFL_SEX_EC2_RT","Share of employment outside the formal sector by sex and economic activity - ISIC level 2 (%)"
"EMP_PIFL_AGE_EC2_RT","Share of employment outside the formal sector by age and economic activity - ISIC level 2 (%)"
"EMP_PIFL_SEX_OCU_RT","Share of employment outside the formal sector by sex and occupation (%)"
"EMP_PIFL_SEX_OCU_EDU_RT","Share of employment outside the formal sector by sex, occupation and education (%)"
"EMP_PIFL_SEX_OCU_GEO_RT","Share of employment outside the formal sector by sex, occupation and rural / urban areas (%)"
"EMP_PIFL_SEX_OCU_MTS_RT","Share of employment outside the formal sector by sex, occupation and marital status (%)"
"EMP_PIFL_SEX_OCU_DSB_RT","Share of employment outside the formal sector by sex, occupation and disability status (%)"
"EMP_PIFL_SEX_OCU_INS_RT","Share of employment outside the formal sector by sex, occupation and public/private sector (%)"
"EMP_PIFL_SEX_OCU_EST_RT","Share of employment outside the formal sector by sex, occupation and establishment size (%)"
"EMP_PIFL_SEX_OC2_RT","Share of employment outside the formal sector by sex and occupation - ISCO level 2 (%)"
"EMP_PIFL_AGE_OC2_RT","Share of employment outside the formal sector by age and occupation - ISCO level 2 (%)"
"EMP_PIFL_SEX_INS_RT","Share of employment outside the formal sector by sex and public/private sector (%)"
"EMP_PIFL_SEX_INS_GEO_RT","Share of employment outside the formal sector by sex, public/private sector and rural/urban areas (%)"
"EMP_PIFL_SEX_INS_MTS_RT","Share of employment outside the formal sector by sex, public/private sector and marital status (%)"
"EMP_PIFL_SEX_INS_DSB_RT","Share of employment outside the formal sector by sex, public/private sector and disability status (%)"
"EMP_PIFL_SEX_EST_RT","Share of employment outside the formal sector by sex and establishment size (%)"
"EMP_PIFL_SEX_EST_GEO_RT","Share of employment outside the formal sector by sex, establishment size and rural / urban areas (%)"
"EMP_PIFL_SEX_EST_MTS_RT","Share of employment outside the formal sector by sex, establishment size and marital status (%)"
"EMP_PIFL_SEX_EST_DSB_RT","Share of employment outside the formal sector by sex, establishment size and disability status (%)"
"EMP_PIFL_SEX_STE_RT","Share of employment outside the formal sector by status in employment (by sex) (%)"
"EMP_PIFL_SEX_HOW_RT","Share of employment outside the formal sector by sex and weekly hours actually worked (%)"
"EES_TEES_SEX_AGE_NB","Employees by sex and age (thousands)"
"EES_TEES_SEX_AGE_EDU_NB","Employees by sex, age and education (thousands)"
"EES_TEES_SEX_AGE_GEO_NB","Employees by sex, age and rural / urban areas (thousands)"
"EES_TEES_SEX_AGE_MTS_NB","Employees by sex, age and marital status (thousands)"
"EES_TEES_SEX_AGE_DSB_NB","Employees by sex, age and disability status (thousands)"
"EES_TEES_SEX_EDU_NB","Employees by sex and education (thousands)"
"EES_TEES_SEX_EDU_GEO_NB","Employees by sex, education and rural / urban areas (thousands)"
"EES_TEES_SEX_EDU_MTS_NB","Employees by sex, education and marital status (thousands)"
"EES_TEES_SEX_EDU_DSB_NB","Employees by sex, education and disability status (thousands)"
"EES_TEES_SEX_GEO_NB","Employees by sex and rural / urban areas (thousands)"
"EES_TEES_SEX_GEO_MTS_NB","Employees by sex, rural / urban areas and marital status (thousands)"
"EES_TEES_SEX_GEO_DSB_NB","Employees by sex, rural / urban areas and disability status (thousands)"
"EES_TEES_SEX_MTS_NB","Employees by sex and marital status (thousands)"
"EES_TEES_SEX_MTS_DSB_NB","Employees by sex, marital status and disability status (thousands)"
"EES_TEES_SEX_DSB_NB","Employees by sex and disability status (thousands)"
"EES_TEES_SEX_AGE_ECO_NB","Employees by sex, age and economic activity (thousands)"
"EES_TEES_SEX_AGE_OCU_NB","Employees by sex, age and occupation (thousands)"
"EES_TEES_SEX_AGE_INS_NB","Employees by sex, age and public/private sector (thousands)"
"EES_TEES_SEX_AGE_JOB_NB","Employees by sex, age and type of job contract (thousands)"
"EES_TEES_SEX_ECO_NB","Employees by sex and economic activity (thousands)"
"EES_TEES_SEX_ECO_EDU_NB","Employees by sex, economic activity and education (thousands)"
"EES_TEES_SEX_ECO_GEO_NB","Employees by sex, economic activity and rural / urban areas (thousands)"
"EES_TEES_SEX_ECO_MTS_NB","Employees by sex, economic activity and marital status (thousands)"
"EES_TEES_SEX_ECO_DSB_NB","Employees by sex, economic activity and disability status (thousands)"
"EES_TEES_ECO_OCU_NB","Employees by economic activity and occupation (thousands)"
"EES_TEES_SEX_ECO_INS_NB","Employees by sex, economic activity and public/private sector (thousands)"
"EES_TEES_SEX_ECO_EST_NB","Employees by sex, economic activity and establishment size (thousands)"
"EES_TEES_SEX_EC2_NB","Employees by sex and economic activity - ISIC level 2 (thousands)"
"EES_TEES_AGE_EC2_NB","Employees by age and economic activity - ISIC level 2 (thousands)"
"EES_TEES_SEX_OCU_NB","Employees by sex and occupation (thousands)"
"EES_TEES_SEX_OCU_EDU_NB","Employees by sex, occupation and education (thousands)"
"EES_TEES_SEX_OCU_GEO_NB","Employees by sex, occupation and rural / urban areas (thousands)"
"EES_TEES_SEX_OCU_MTS_NB","Employees by sex, occupation and marital status (thousands)"
"EES_TEES_SEX_OCU_DSB_NB","Employees by sex, occupation and disability status (thousands)"
"EES_TEES_SEX_OCU_INS_NB","Employees by sex, occupation and public/private sector (thousands)"
"EES_TEES_SEX_OCU_EST_NB","Employees by sex, occupation and establishment size (thousands)"
"EES_TEES_SEX_OC2_NB","Employees by sex and occupation - ISCO level 2 (thousands)"
"EES_TEES_AGE_OC2_NB","Employees by age and occupation - ISCO level 2 (thousands)"
"EES_TEES_SEX_INS_NB","Employees by sex and public/private sector (thousands)"
"EES_TEES_SEX_INS_GEO_NB","Employees by sex, public/private sector and rural/urban areas (thousands)"
"EES_TEES_SEX_INS_MTS_NB","Employees by sex, public/private sector and marital status (thousands)"
"EES_TEES_SEX_INS_DSB_NB","Employees by sex, public/private sector and disability status (thousands)"
"EES_TEES_SEX_EST_NB","Employees by sex and establishment size (thousands)"
"EES_TEES_SEX_EST_GEO_NB","Employees by sex, establishment size and rural / urban areas (thousands)"
"EES_TEES_SEX_EST_MTS_NB","Employees by sex, establishment size and marital status (thousands)"
"EES_TEES_SEX_EST_DSB_NB","Employees by sex, establishment size and disability status (thousands)"
"EES_TEES_SEX_HOW_NB","Employees by sex and weekly hours actually worked (thousands)"
"EES_TEES_SEX_MJH_NB","Employees by sex and multiple-job holding (thousands)"
"EES_XTMP_SEX_RT","Share of temporary employees by sex (%)"
"PSE_TPSE_GOV_NB","Public employment by sectors and sub-sectors of national accounts (thousands)"
"TRU_TTRU_SEX_AGE_NB","Time-related underemployment by sex and age (thousands)"
"TRU_TTRU_SEX_AGE_EDU_NB","Time-related underemployment by sex, age and education (thousands)"
"TRU_TTRU_SEX_AGE_GEO_NB","Time-related underemployment by sex, age and rural / urban areas (thousands)"
"TRU_TTRU_SEX_AGE_MTS_NB","Time-related underemployment by sex, age and marital status (thousands)"
"TRU_TTRU_SEX_EDU_NB","Time-related underemployment by sex and education (thousands)"
"TRU_TTRU_SEX_EDU_GEO_NB","Time-related underemployment by sex, education and rural / urban areas (thousands)"
"TRU_TTRU_SEX_EDU_MTS_NB","Time-related underemployment by sex, education and marital status (thousands)"
"TRU_TTRU_SEX_GEO_NB","Time-related underemployment by sex and rural / urban areas (thousands)"
"TRU_TTRU_SEX_GEO_MTS_NB","Time-related underemployment by sex, rural / urban area and marital status (thousands)"
"TRU_TTRU_SEX_MTS_NB","Time-related underemployment by sex and marital status (thousands)"
"TRU_TTRU_SEX_DSB_NB","Time-related underemployment by sex and disability status (thousands)"
"TRU_DEMP_SEX_AGE_RT","Time-related underemployment rate by sex and age (%)"
"TRU_DEMP_SEX_AGE_EDU_RT","Time-related underemployment rate by sex, age and education (%)"
"TRU_DEMP_SEX_AGE_GEO_RT","Time-related underemployment rate by sex, age and rural / urban areas (%)"
"TRU_DEMP_SEX_AGE_MTS_RT","Time-related underemployment rate by sex, age and marital status (%)"
"TRU_DEMP_SEX_EDU_RT","Time-related underemployment rate by sex and education (%)"
"TRU_DEMP_SEX_EDU_GEO_RT","Time-related underemployment rate by sex, education and rural / urban areas (%)"
"TRU_DEMP_SEX_EDU_MTS_RT","Time-related underemployment rate by sex, education and marital status (%)"
"TRU_DEMP_SEX_GEO_RT","Time-related underemployment rate by sex and rural / urban areas (%)"
"TRU_DEMP_SEX_GEO_MTS_RT","Time-related underemployment rate by sex, rural / urban area and marital status (%)"
"TRU_DEMP_SEX_MTS_RT","Time-related underemployment rate by sex and marital status (%)"
"TRU_DEMP_SEX_DSB_RT","Time-related underemployment rate by sex and disability status (%)"
"UNE_TUNE_SEX_AGE_NB","Unemployment by sex and age (thousands)"
"UNE_TUNE_SEX_AGE_EDU_NB","Unemployment by sex, age and education (thousands)"
"UNE_TUNE_SEX_AGE_GEO_NB","Unemployment by sex, age and rural / urban areas (thousands)"
"UNE_TUNE_SEX_AGE_MTS_NB","Unemployment by sex, age and marital status (thousands)"
"UNE_TUNE_SEX_AGE_DSB_NB","Unemployment by sex, age and disability status (thousands)"
"UNE_TUNE_SEX_EDU_NB","Unemployment by sex and education (thousands)"
"UNE_TUNE_SEX_EDU_GEO_NB","Unemployment by sex, education and rural / urban areas (thousands)"
"UNE_TUNE_SEX_EDU_MTS_NB","Unemployment by sex, education and marital status (thousands)"
"UNE_TUNE_SEX_EDU_DSB_NB","Unemployment by sex, education and disability status (thousands)"
"UNE_TUNE_SEX_GEO_NB","Unemployment by sex and rural / urban areas (thousands)"
"UNE_TUNE_SEX_GEO_MTS_NB","Unemployment by sex, rural / urban area and marital status (thousands)"
"UNE_TUNE_SEX_MTS_NB","Unemployment by sex and marital status (thousands)"
"UNE_TUNE_SEX_GEO_DSB_NB","Unemployment by sex, rural / urban areas and disability status (thousands)"
"UNE_TUNE_SEX_DSB_NB","Unemployment by sex and disability status (thousands)"
"UNE_TUNE_SEX_MTS_DSB_NB","Unemployment by sex, marital status and disability status (thousands)"
"UNE_TUNE_SEX_AGE_DUR_NB","Unemployment by sex, age and duration (thousands)"
"UNE_TUNE_SEX_DUR_GEO_NB","Unemployment by sex, duration and rural / urban areas (thousands)"
"UNE_TUNE_SEX_DUR_MTS_NB","Unemployment by sex, duration and marital status (thousands)"
"UNE_TUNE_SEX_ECO_NB","Unemployment of previously employed persons by sex and former economic activity (thousands)"
"UNE_TUNE_SEX_ECO_EDU_NB","Unemployment of previously employed persons by sex, former economic activity and education (thousands)"
"UNE_TUNE_SEX_OCU_NB","Unemployment of previously employed persons by sex and former occupation (thousands)"
"UNE_TUNE_SEX_OCU_EDU_NB","Unemployment by sex, occupation and education (thousands)"
"UNE_TUNE_SEX_CAT_NB","Unemployment by sex and categories of unemployed persons (thousands)"
"UNE_TUN1_SEX_AGE_NB","Unemployment by sex and age, seasonally adjusted series (thousands)"
"UNE_TUN1_SEX_AGE_DUR_NB","Unemployment by sex, age and duration, seasonally adjusted series (thousands)"
"UNE_DEAP_SEX_AGE_RT","Unemployment rate by sex and age (%)"
"UNE_DEAP_SEX_AGE_EDU_RT","Unemployment rate by sex, age and education (%)"
"UNE_DEAP_SEX_AGE_GEO_RT","Unemployment rate by sex, age and rural / urban areas (%)"
"UNE_DEAP_SEX_AGE_MTS_RT","Unemployment rate by sex, age and marital status (%)"
"UNE_DEAP_SEX_AGE_DSB_RT","Unemployment rate by sex, age and disability status (%)"
"UNE_DEAP_SEX_EDU_RT","Unemployment rate by sex and education (%)"
"UNE_DEAP_SEX_EDU_GEO_RT","Unemployment rate by sex, education and rural / urban areas (%)"
"UNE_DEAP_SEX_EDU_MTS_RT","Unemployment rate by sex, education and marital status (%)"
"UNE_DEAP_SEX_EDU_DSB_RT","Unemployment rate by sex, education and disability status (%)"
"UNE_DEAP_SEX_GEO_RT","Unemployment rate by sex and rural / urban areas (%)"
"UNE_DEAP_SEX_GEO_MTS_RT","Unemployment rate by sex, rural / urban area and marital status (%)"
"UNE_DEAP_SEX_GEO_DSB_RT","Unemployment rate by sex, rural / urban areas and disability status (%)"
"UNE_DEAP_SEX_MTS_RT","Unemployment rate by sex and marital status (%)"
"UNE_DEAP_SEX_DSB_RT","Unemployment rate by sex and disability status (%)"
"UNE_DEAP_SEX_MTS_DSB_RT","Unemployment rate by sex, marital status and disability status (%)"
"UNE_DEA1_SEX_AGE_RT","Unemployment rate by sex and age, seasonally adjusted series (%)"
"GED_XLU1_SEX_HHT_CHL_RT","Prime-age unemployment rate by sex, household type and presence of children (%)"
"GED_XLU1_SEX_HHT_GEO_RT","Prime-age unemployment rate by sex, household type and rural / urban areas (%)"
"LUU_XLU2_SEX_AGE_RT","Combined rate of time-related underemployment and unemployment (LU2) by sex and age (%)"
"LUU_XLU2_SEX_AGE_EDU_RT","Combined rate of time-related underemployment and unemployment (LU2) by sex, age and education (%)"
"LUU_XLU2_SEX_AGE_GEO_RT","Combined rate of time-related underemployment and unemployment (LU2) by sex, age and rural / urban areas (%)"
"LUU_XLU2_SEX_AGE_MTS_RT","Combined rate of time-related underemployment and unemployment (LU2) by sex, age and marital status (%)"
"LUU_XLU2_SEX_EDU_RT","Combined rate of time-related underemployment and unemployment (LU2) by sex and education (%)"
"LUU_XLU2_SEX_EDU_GEO_RT","Combined rate of time-related underemployment and unemployment (LU2) by sex, education and rural / urban areas (%)"
"LUU_XLU2_SEX_EDU_MTS_RT","Combined rate of time-related underemployment and unemployment (LU2) by sex, education and marital status (%)"
"LUU_XLU2_SEX_GEO_RT","Combined rate of time-related underemployment and unemployment (LU2) by sex and rural / urban areas (%)"
"LUU_XLU2_SEX_GEO_MTS_RT","Combined rate of time-related underemployment and unemployment (LU2) by sex, rural / urban area and marital status (%)"
"LUU_XLU2_SEX_MTS_RT","Combined rate of time-related underemployment and unemployment (LU2) by sex and marital status (%)"
"LUU_XLU2_SEX_DSB_RT","Combined rate of time-related underemployment and unemployment (LU2) by sex and disability status (%)"
"GED_XLU2_SEX_HHT_CHL_RT","Prime-age combined rate of time-related underemployment and unemployment (LU2) by sex, household type and presence of children (%)"
"GED_XLU2_SEX_HHT_GEO_RT","Prime-age combined rate of time-related underemployment and unemployment (LU2) by sex, household type and rural / urban areas (%)"
"LUU_XLU3_SEX_AGE_RT","Combined rate of unemployment and potential labour force (LU3) by sex and age (%)"
"LUU_XLU3_SEX_AGE_EDU_RT","Combined rate of unemployment and potential labour force (LU3) by sex, age and education (%)"
"LUU_XLU3_SEX_AGE_GEO_RT","Combined rate of unemployment and potential labour force (LU3) by sex, age and rural / urban areas (%)"
"LUU_XLU3_SEX_AGE_MTS_RT","Combined rate of unemployment and potential labour force (LU3) by sex, age and marital status (%)"
"LUU_XLU3_SEX_EDU_RT","Combined rate of unemployment and potential labour force (LU3) by sex and education (%)"
"LUU_XLU3_SEX_EDU_GEO_RT","Combined rate of unemployment and potential labour force (LU3) by sex, education and rural / urban areas (%)"
"LUU_XLU3_SEX_EDU_MTS_RT","Combined rate of unemployment and potential labour force (LU3) by sex, education and marital status (%)"
"LUU_XLU3_SEX_GEO_RT","Combined rate of unemployment and potential labour force (LU3) by sex and rural / urban areas (%)"
"LUU_XLU3_SEX_GEO_MTS_RT","Combined rate of unemployment and potential labour force (LU3) by sex, rural / urban area and marital status (%)"
"LUU_XLU3_SEX_MTS_RT","Combined rate of unemployment and potential labour force (LU3) by sex and marital status (%)"
"LUU_XLU3_SEX_DSB_RT","Combined rate of unemployment and potential labour force (LU3) by sex and disability status (%)"
"GED_XLU3_SEX_HHT_CHL_RT","Prime-age combined rate of unemployment and potential labour force (LU3) by sex, household type and presence of children (%)"
"GED_XLU3_SEX_HHT_GEO_RT","Prime-age combined rate of unemployment and potential labour force (LU3) by sex, household type and rural / urban areas (%)"
"LUU_XLU4_SEX_AGE_RT","Composite rate of labour underutilization (LU4) by sex and age (%)"
"LUU_XLU4_SEX_AGE_EDU_RT","Composite rate of labour underutilization (LU4) by sex, age and education (%)"
"LUU_XLU4_SEX_AGE_GEO_RT","Composite rate of labour underutilization (LU4) by sex, age and rural / urban areas (%)"
"LUU_XLU4_SEX_AGE_MTS_RT","Composite rate of labour underutilization (LU4) by sex, age and marital status (%)"
"LUU_XLU4_SEX_EDU_RT","Composite rate of labour underutilization (LU4) by sex and education (%)"
"LUU_XLU4_SEX_EDU_GEO_RT","Composite rate of labour underutilization (LU4) by sex, education and rural / urban areas (%)"
"LUU_XLU4_SEX_EDU_MTS_RT","Composite rate of labour underutilization (LU4) by sex, education and marital status (%)"
"LUU_XLU4_SEX_GEO_RT","Composite rate of labour underutilization (LU4) by sex and rural / urban areas (%)"
"LUU_XLU4_SEX_GEO_MTS_RT","Composite rate of labour underutilization (LU4) by sex, rural / urban area and marital status (%)"
"LUU_XLU4_SEX_MTS_RT","Composite rate of labour underutilization (LU4) by sex and marital status (%)"
"LUU_XLU4_SEX_DSB_RT","Composite rate of labour underutilization (LU4) by sex and disability status (%)"
"GED_XLU4_SEX_HHT_CHL_RT","Prime-age composite rate of labour underutilization (LU4) by sex, household type and presence of children (%)"
"GED_XLU4_SEX_HHT_GEO_RT","Prime-age composite rate of labour underutilization (LU4) by sex, household type and rural / urban areas (%)"
"LUU_XLUX_SEX_NB","Jobs gap (thousands)"
"LUU_XLUX_SEX_RT","Jobs gap rate (%)"
"EIP_WDIS_SEX_AGE_NB","Discouraged job-seekers by sex and age (thousands)"
"EIP_WDIS_SEX_AGE_EDU_NB","Discouraged job-seekers by sex, age and education (thousands)"
"EIP_WDIS_SEX_AGE_GEO_NB","Discouraged job-seekers by sex, age and rural / urban areas (thousands)"
"EIP_WDIS_SEX_AGE_MTS_NB","Discouraged job-seekers by sex, age and marital status (thousands)"
"EIP_WDIS_SEX_EDU_NB","Discouraged job-seekers by sex and education (thousands)"
"EIP_WDIS_SEX_EDU_GEO_NB","Discouraged job-seekers by sex, education and rural / urban areas (thousands)"
"EIP_WDIS_SEX_EDU_MTS_NB","Discouraged job-seekers by sex, education and marital status (thousands)"
"EIP_WDIS_SEX_GEO_NB","Discouraged job-seekers by sex and rural / urban areas (thousands)"
"EIP_WDIS_SEX_GEO_MTS_NB","Discouraged job-seekers by sex, rural / urban area and marital status (thousands)"
"EIP_WDIS_SEX_MTS_NB","Discouraged job-seekers by sex and marital status (thousands)"
"EIP_WDIS_SEX_DSB_NB","Discouraged job-seekers by sex and disability status (thousands)"
"EIP_WPLF_SEX_AGE_NB","Potential labour force by sex and age (thousands)"
"EIP_WPLF_SEX_AGE_EDU_NB","Potential labour force by sex, age and education (thousands)"
"EIP_WPLF_SEX_AGE_GEO_NB","Potential labour force by sex, age and rural / urban areas (thousands)"
"EIP_WPLF_SEX_AGE_MTS_NB","Potential labour force by sex, age and marital status (thousands)"
"EIP_WPLF_SEX_EDU_NB","Potential labour force by sex and education (thousands)"
"EIP_WPLF_SEX_EDU_GEO_NB","Potential labour force by sex, education and rural / urban areas (thousands)"
"EIP_WPLF_SEX_EDU_MTS_NB","Potential labour force by sex, education and marital status (thousands)"
"EIP_WPLF_SEX_GEO_NB","Potential labour force by sex and rural / urban areas (thousands)"
"EIP_WPLF_SEX_GEO_MTS_NB","Potential labour force by sex, rural / urban area and marital status (thousands)"
"EIP_WPLF_SEX_MTS_NB","Potential labour force by sex and marital status (thousands)"
"EIP_WPLF_SEX_DSB_NB","Potential labour force by sex and disability status (thousands)"
"EIP_XJOB_SEX_NB","Potential labour force and willing non-jobseekers (thousands)"
"EIP_TEIP_SEX_AGE_NB","Persons outside the labour force by sex and age (thousands)"
"EIP_TEIP_SEX_AGE_EDU_NB","Persons outside the labour force by sex, age and education (thousands)"
"EIP_TEIP_SEX_AGE_GEO_NB","Persons outside the labour force by sex, age and rural / urban areas (thousands)"
"EIP_TEIP_SEX_AGE_MTS_NB","Persons outside the labour force by sex, age and marital status (thousands)"
"EIP_TEIP_SEX_AGE_DSB_NB","Persons outside the labour force by sex, age and disability status (thousands)"
"EIP_TEIP_SEX_EDU_NB","Persons outside the labour force by sex and education (thousands)"
"EIP_TEIP_SEX_EDU_GEO_NB","Persons outside the labour force by sex, education and rural / urban areas (thousands)"
"EIP_TEIP_SEX_EDU_MTS_NB","Persons outside the labour force by sex, education and marital status (thousands)"
"EIP_TEIP_SEX_EDU_DSB_NB","Persons outside the labour force by sex, education and disability status (thousands)"
"EIP_TEIP_SEX_GEO_NB","Persons outside the labour force by sex and rural / urban areas (thousands)"
"EIP_TEIP_SEX_GEO_MTS_NB","Persons outside the labour force by sex, rural / urban area and marital status (thousands)"
"EIP_TEIP_SEX_GEO_DSB_NB","Persons outside the labour force by sex, rural / urban areas and disability status (thousands)"
"EIP_TEIP_SEX_MTS_NB","Persons outside the labour force by sex and marital status (thousands)"
"EIP_TEIP_SEX_MTS_DSB_NB","Persons outside the labour force by sex, marital status and disability status (thousands)"
"EIP_TEIP_SEX_DSB_NB","Persons outside the labour force by sex and disability status (thousands)"
"EIP_XJOB_SEX_RT","Potential labour force and willing non-jobseekers rate (%)"
"EIP_DWAP_SEX_AGE_RT","Inactivity rate by sex and age (%)"
"EIP_DWAP_SEX_AGE_EDU_RT","Inactivity rate by sex, age and education (%)"
"EIP_DWAP_SEX_AGE_GEO_RT","Inactivity rate by sex, age and rural / urban areas (%)"
"EIP_DWAP_SEX_AGE_MTS_RT","Inactivity rate by sex, age and marital status (%)"
"EIP_DWAP_SEX_AGE_DSB_RT","Inactivity rate by sex, age and disability status (%)"
"EIP_DWAP_SEX_EDU_RT","Inactivity rate by sex and education (%)"
"EIP_DWAP_SEX_EDU_GEO_RT","Inactivity rate by sex, education and rural / urban areas (%)"
"EIP_DWAP_SEX_EDU_MTS_RT","Inactivity rate by sex, education and marital status (%)"
"EIP_DWAP_SEX_EDU_DSB_RT","Inactivity rate by sex, education and disability status (%)"
"EIP_DWAP_SEX_GEO_RT","Inactivity rate by sex and rural / urban areas (%)"
"EIP_DWAP_SEX_GEO_MTS_RT","Inactivity rate by sex, rural / urban area and marital status (%)"
"EIP_DWAP_SEX_GEO_DSB_RT","Inactivity rate by sex, rural / urban areas and disability status (%)"
