source, source.label, ref_area
"GA:20","CPS - Consumer Price Index","ECU"
"XA:6514","ILO - Social Security Inquiry Database","ECU"
"XA:2012","ILO - Modelled Estimates","ECU"
"XA:15779","ILO - Calculations based on information from ILO textual sources","ECU"
"BA:582","LFS - Labour Force Sample Survey","EGY"
"BX:13070","HS - Demographic and Health Survey","EGY"
"BX:6372","HS - School to Work Transition Survey","EGY"
"AA:1101","PC - Population Census","EGY"
"CA:1102","EC - Employment, wages and hours of Work Survey","EGY"
"DA:2502","ES - Establishment Survey","EGY"
"FF:1103","ADM-LIR - Labour Inspectorate Records","EGY"
"FX:3244","ADM - Labour legislation","EGY"
"FX:1104","ADM - Labour Relations Records","EGY"
"FX:791","ADM - Records of General Department of Collective Bargaining","EGY"
"FX:790","ADM - The Central Agency for Public Mobilization and Statistics Records","EGY"
"EB:16078","Other - Annual bulletin of foreign employees in governmental sector","EGY"
"EB:16079","Other - Annual bulletin of foreign employees in private sector","EGY"
"GA:2358","CPS - Consumer Price Survey","EGY"
"XA:6641","ILO - Social Security Inquiry Database","EGY"
"XA:2016","ILO - Modelled Estimates","EGY"
"XA:15818","ILO - Calculations based on information from ILO textual sources","EGY"
"AA:6998","PC - Population Census","ERI"
"DA:1105","ES - Labour-related Establishment Survey","ERI"
"FF:1106","ADM-LIR - Labour Inspectorate Records","ERI"
"XA:6517","ILO - Social Security Inquiry Database","ERI"
"XA:1921","ILO - Modelled Estimates","ERI"
"XA:16174","ILO - Calculations based on information from ILO textual sources","ERI"
"XA:2024","ILO - Modelled Estimates","ESH"
"BE:5894","LFS-ADJ - EU Labour Force Survey adjusted series","ESP"
"BA:2244","LFS - EU Labour Force Survey","ESP"
"BA:246","LFS - Labour Force Survey","ESP"
"BB:3071","HIES - EU Statistics on Income and Living Conditions","ESP"
"AA:1107","PC - Population Census","ESP"
"DA:249","ES - Annual Labour Cost Survey","ESP"
"DA:248","ES - Annual Wage Structure Survey","ESP"
"DA:1108","ES - Survey of Wages in Industry and the Services","ESP"
"FA:1110","ADM-IR - Insurance Records","ESP"
"FB:1111","ADM-EOR - Registered Unemployment","ESP"
"FE:623","ADM-CA - Collective agreements","ESP"
"FF:2592","ADM-LIR - Annual Report from Labour Inspection and Social Security","ESP"
"FI:8283","ADM-RWO - Records of main union confederations and independent unions","ESP"
"FJ:14059","ADM-PR - Register of Spaniards Resident Abroad","ESP"
"FJ:14062","ADM-PR - Population Register","ESP"
"FX:1112","ADM - Administrative Records of membership of the Social Security System","ESP"
"FX:5866","ADM - Strikes and lockouts statistics","ESP"
"EB:3458","Other - Other Official Sources","ESP"
"GA:2359","CPS - Consumer Price Index","ESP"
"XA:6521","ILO - Social Security Inquiry Database","ESP"
"XA:2028","ILO - Modelled Estimates","ESP"
"XA:15753","ILO - Calculations based on information from ILO textual sources","ESP"
"BE:5902","LFS-ADJ - EU Labour Force Survey adjusted series","EST"
"BA:42","LFS - Labour Force Survey","EST"
"BB:44","HIES - EU Statistics on Income and Living Conditions","EST"
"AA:1113","PC - Population Census","EST"
"DA:3113","ES - Structure of Earnings Survey","EST"
"DA:1114","ES - Survey of Wages and Salaries","EST"
"FA:1116","ADM-IR - Insurance Records","EST"
"FB:1117","ADM-EOR - Registered Unemployment","EST"
"FF:43","ADM-LIR - Estonian Labour Inspectorate","EST"
"FX:3360","ADM - Labour legislation","EST"
"FX:1118","ADM - Other Administrative records and related sources","EST"
"GA:45","CPS - Consumer Price Survey","EST"
"XA:6423","ILO - Social Security Inquiry Database","EST"
"XA:1874","ILO - Modelled Estimates","EST"
"XA:15822","ILO - Calculations based on information from ILO textual sources","EST"
"XX:8255","OS - Estimations based on Working Life Survey and Administrative data for small firms","EST"
"EA:16228","OE - Statistical work 21101: Wages and salaries","EST"
"BA:1126","LFS - National Labor Force Survey","ETH"
"BC:15684","CLS - National Child Labour Survey","ETH"
"AA:1125","PC - Population Census","ETH"
"FI:368","ADM-RWO - Trade unions records","ETH"
"FX:7127","ADM - Administrative records and related sources","ETH"
"FX:3357","ADM - Labour legislation","ETH"
"FX:15640","ADM - Administrative Records, Ministry of Labour and Social Affairs","ETH"
"EA:15637","OE - Returnees and reintegration data, compiled from Immigration and Vital Statistics Agency Records","ETH"
"GA:2360","CPS - Consumer Price Survey","ETH"
"GA:2495","CPS - Consumer Price Survey, Main City","ETH"
"XA:6458","ILO - Social Security Inquiry Database","ETH"
"XA:2036","ILO - Modelled Estimates","ETH"
"XA:16151","ILO - Calculations based on information from ILO textual sources","ETH"
"BE:5874","LFS-ADJ - EU Labour Force Survey adjusted series","FIN"
"BA:2486","LFS - EU Labour Force Survey","FIN"
"BA:770","LFS - Labour Force Survey","FIN"
"BB:6210","HIES - EU Statistics on Income and Living Conditions","FIN"
"BB:3053","HIES - Income Distribution Survey","FIN"
"BB:1130","HIES - Survey on Wages of Industrial Workers and Salaries of Industrial Employees","FIN"
"BX:15950","HS - Leisure Survey","FIN"
"AA:1129","PC - Population Census","FIN"
"DA:62","ES - Labour cost Survey","FIN"
"DA:58","ES - Structure of Earnings Survey","FIN"
"FA:1131","ADM-IR - Insurance Records","FIN"
"FB:1132","ADM-EOR - Employment Service statistics","FIN"
"FF:5962","ADM-LIR - Labour Inspectorate Records","FIN"
"FH:421","ADM-REO - Strikes and Lockouts Records","FIN"
"FI:1133","ADM-RWO - Records of Employers and Workers' Organizations","FIN"
"FJ:14061","ADM-PR - Population Register","FIN"
"FX:67","ADM - Federation of Accidents Insurance Institutions Records","FIN"
"FX:3511","ADM - Records of the Ministry of Social Affairs and Health","FIN"
"EA:14063","OE - Employment statistics","FIN"
"FX:59","ADM - Trade unions records","FIN"
"GA:55","CPS - Consumer Price Survey","FIN"
"JA:3450","SNA - National Accounts","FIN"
"XA:6529","ILO - Social Security Inquiry Database","FIN"
"XA:1836","ILO - Modelled Estimates","FIN"
"XA:15783","ILO - Calculations based on information from ILO textual sources","FIN"
"BA:1135","LFS - Employment, Unemployment Survey","FJI"
"AA:1134","PC - Population Census","FJI"
"DA:1136","ES - Employment Survey","FJI"
"FF:1138","ADM-LIR - Labour Inspectorate Records","FJI"
"FX:3350","ADM - Labour legislation","FJI"
"FX:1139","ADM - Labour Relations Records","FJI"
"FX:15642","ADM - Immigration Office Records from Arrivals and Departure cards","FJI"
"EA:1137","OE - Official Estimates","FJI"
"EB:12971","Other - Annual report of tourism and migration, Fiji Bureau of Statistics","FJI"
"EB:12972","Other - Annual report of immigration, Fiji Immigration Department","FJI"
"GA:2362","CPS - Consumer Price Survey","FJI"
"XA:6408","ILO - Social Security Inquiry Database","FJI"
"XA:2044","ILO - Modelled Estimates","FJI"
"XA:15826","ILO - Calculations based on information from ILO textual sources","FJI"
"AA:1140","PC - Population Census","FLK"
"EA:8325","OE - Official Estimates","FLK"
"GA:2363","CPS - Retail Price Index","FLK"
"BE:5893","LFS-ADJ - EU Labour Force Survey adjusted series","FRA"
"BA:148","LFS - Employment Survey","FRA"
"BB:3067","HIES - EU Statistics on Income and Living Conditions","FRA"
"AA:47","PC - Population Census","FRA"
"DA:13042","ES - Labour cost and Structure of Earnings annual Survey","FRA"
"DA:15730","ES - Structure of Earnings Survey","FRA"
"DA:1141","ES - Quartery Survey on the economic activity and Working conditions of the labour force","FRA"
"DA:13358","ES - Annual Survey on bargaining and employees' representation","FRA"
"FA:303","ADM-IR - Records of the CNAM, employees","FRA"
"FB:48","ADM-EOR - Register of the Employment Office","FRA"
"FX:13359","ADM - Administrative data on strikes in the Public Administration","FRA"
"FX:1144","ADM - Annual Statement of Social Data","FRA"
"FX:3345","ADM - Labour legislation","FRA"
"FX:8257","ADM - Administrative Records of the DARES","FRA"
"EA:1142","OE - Official Estimates","FRA"
"GA:2364","CPS - Consumer Price Index for Urban Households","FRA"
"JA:3445","SNA - National Accounts","FRA"
"XA:6462","ILO - Social Security Inquiry Database","FRA"
"XA:2048","ILO - Modelled Estimates","FRA"
"XA:15764","ILO - Calculations based on information from ILO textual sources","FRA"
"XX:8256","OS - Estimations based on self-reported membership and financial statistics of confederations and independent unions","FRA"
"BA:1146","LFS - Labour Force Survey","FRO"
"AA:1145","PC - Population Census","FRO"
"GA:2266","CPS - Consumer Price Survey","FRO"
"BB:14055","HIES - Household Income and Expenditure Survey","FSM"
"GA:15669","CPS - Consumer Price Survey","FSM"
"XA:15718","ILO - Social Security Inquiry Database","FSM"
"BA:583","LFS - National Employment and Unemployment Survey","GAB"
"BX:13065","HS - Demographic and Health Survey","GAB"
"AA:1147","PC - Population Census","GAB"
"FA:1150","ADM-IR - Insurance Records","GAB"
"FF:1152","ADM-LIR - Labour Inspectorate Records","GAB"
"FX:3342","ADM - Labour legislation","GAB"
"EA:1149","OE - Official Estimates","GAB"
"GA:584","CPS - Consumer Price Index","GAB"
"GA:2365","CPS - Consumer Price Index, Africans","GAB"
"XA:6427","ILO - Social Security Inquiry Database","GAB"
"XA:1937","ILO - Modelled Estimates","GAB"
"XA:16153","ILO - Calculations based on information from ILO textual sources","GAB"
"BE:5896","LFS-ADJ - EU Labour Force Survey adjusted series","GBR"
"BA:2247","LFS - EU Labour Force Survey","GBR"
"BA:666","LFS - Labour Force Survey","GBR"
"BA:14068","LFS - Annual Population Survey","GBR"
"BB:3056","HIES - EU Statistics on Income and Living Conditions","GBR"
"BX:16074","HS - Community Life Survey","GBR"
"AA:1153","PC - Population Census","GBR"
"DA:13372","ES - Public Sector Employment","GBR"
"DA:1154","ES - Short-Term Employment Statistics","GBR"
"DA:670","ES - Annual Survey of Hours and Earnings","GBR"
"FA:1156","ADM-IR - Labour Inspectorate Records","GBR"
"FK:6352","ADM-EBR - Inter-Departmental Business Register","GBR"
"FX:1158","ADM - Labour disputes Records","GBR"
"FX:3337","ADM - Labour legislation","GBR"
"FX:14070","ADM - International Passenger Survey","GBR"
"EA:1155","OE - Official Estimates","GBR"
"GA:2366","CPS - Retail Price Index","GBR"
"XA:6541","ILO - Social Security Inquiry Database","GBR"
"XA:2056","ILO - Modelled Estimates","GBR"
"XA:15830","ILO - Calculations based on information from ILO textual sources","GBR"
"BA:13950","LFS - Labour Force Survey","GEO"
"BB:16121","HIES - Household Income and Expenditure Survey","GEO"
"BC:15677","CLS - National Child Labour Survey","GEO"
"BX:180","HS - Integrated Household Survey","GEO"
"AA:7000","PC - Population Census","GEO"
"DA:181","ES - Wage Survey","GEO"
"FB:1160","ADM-EOR - Registered Unemployment Records","GEO"
"FI:16049","ADM-RWO - Trade unions records","GEO"
"FX:182","ADM - Administrative Records","GEO"
"FX:13346","ADM - Administrative Records of ministry of internal affairs","GEO"
"FX:3332","ADM - Labour legislation","GEO"
"FX:184","ADM - Technical and Construction Inspection Records","GEO"
"GA:2368","CPS - Consumer Price Survey","GEO"
"XA:6466","ILO - Social Security Inquiry Database","GEO"
"XA:2060","ILO - Modelled Estimates","GEO"
"XA:15787","ILO - Calculations based on information from ILO textual sources","GEO"
"AA:1161","PC - Population Census","GGY"
"FX:2566","ADM - Official Estimates","GGY"
"BA:1163","LFS - Labour Force Survey","GHA"
"BB:16203","HIES - Household Income and Expenditure Survey","GHA"
"BB:3078","HIES - Living Standards Survey","GHA"
"BX:15695","HS - Multiple Indicator Cluster Survey, UNICEF","GHA"
"AA:1162","PC - Population Census","GHA"
"CA:1164","EC - Survey of Employment and Earnings","GHA"
"FX:3329","ADM - Labour legislation","GHA"
"FX:1166","ADM - Labour Relations Records","GHA"
"EA:13414","OE - Estimates based on various sources","GHA"
"GA:2370","CPS - Consumer Price Survey","GHA"
"XA:6401","ILO - Social Security Inquiry Database","GHA"
"XA:2064","ILO - Modelled Estimates","GHA"
"XA:15834","ILO - Calculations based on information from ILO textual sources","GHA"
"XX:16050","OS - Estimations based on administrative data","GHA"
"BA:8361","LFS - Labour Force Survey","GIB"
"AA:1167","PC - Population Census","GIB"
"DA:33","ES - Employment Survey","GIB"
"FB:1170","ADM-EOR - Monthly Unemployment Records","GIB"
"FX:1171","ADM - Other Administrative records and related sources","GIB"
"EA:35","OE - Official Estimates","GIB"
"GA:2371","CPS - Index of Retail Prices","GIB"
"BA:16217","LFS - Harmonized Survey on Household Living Conditions","GIN"
"BA:15631","LFS - National Survey on Employment and the Informal Sector","GIN"
"BB:13365","HIES - Core Welfare Indicators Questionnaire","GIN"
"BX:13066","HS - Multiple Indicator Cluster Survey, UNICEF","GIN"
"AA:14067","PC - Population and Housing Census","GIN"
"FA:1173","ADM-IR - Insurance Records","GIN"
"FF:425","ADM-LIR - Social Protection","GIN"
"FX:8329","ADM - Administrative records and related sources","GIN"
"FX:16100","ADM - Legislation du Travail","GIN"
"EA:747","OE - Estimates based on Population Census","GIN"
"GA:2288","CPS - Consumer Price Survey","GIN"
"XA:6470","ILO - Social Security Inquiry Database","GIN"
"XA:2068","ILO - Modelled Estimates","GIN"
"XA:15750","ILO - Calculations based on information from ILO textual sources","GIN"
"BA:6854","LFS - Employment Survey","GLP"
"AA:88","PC - Population Census in overseas territories","GLP"
"FX:3327","ADM - Annual Statement of Social Data","GLP"
"EA:1177","OE - Official Estimates","GLP"
"GA:2374","CPS - Consumer Price Index","GLP"
"XA:15938","ILO - Social Security Inquiry Database","GLP"
"BA:7014","LFS - Labour Force Survey","GMB"
"BX:7152","HS - Multiple Indicator Cluster Survey, UNICEF","GMB"
"AA:1178","PC - Population Census","GMB"
"DA:1179","ES - Survey of Employment, Earnings and Hours of Work","GMB"
"FX:3324","ADM - Labour legislation","GMB"
"GA:2373","CPS - Consumer Price Survey","GMB"
"XA:6431","ILO - Social Security Inquiry Database","GMB"
"XA:2075","ILO - Modelled Estimates","GMB"
"XA:15967","ILO - Calculations based on information from ILO textual sources","GMB"
"BB:15952","HIES - Harmonized Survey on Household Living Conditions","GNB"
"BX:7148","HS - Multiple Indicator Cluster Survey, UNICEF","GNB"
"BA:15635","LFS - Integrated Regional Survey on Employment and Informal Sector","GNB"
"AA:1180","PC - Population Census","GNB"
"DA:1181","ES - Labour-related Establishment Survey","GNB"
"FA:1183","ADM-IR - Insurance Records","GNB"
"FX:3352","ADM - Labour legislation","GNB"
"EA:1182","OE - Official Estimates","GNB"
"GA:2307","CPS - Consumer Price Survey","GNB"
"XA:6557","ILO - Social Security Inquiry Database","GNB"
"XA:1885","ILO - Modelled Estimates","GNB"
"XA:16185","ILO - Calculations based on information from ILO textual sources","GNB"
"BB:7051","HIES - Living Standards Survey","GNQ"
"AA:1185","PC - Population Census","GNQ"
"FX:3322","ADM - Labour legislation","GNQ"
"GA:2310","CPS - Consumer Price Index","GNQ"
"XA:6474","ILO - Social Security Inquiry Database","GNQ"
"XA:2083","ILO - Modelled Estimates","GNQ"
"XA:15838","ILO - Calculations based on information from ILO textual sources","GNQ"
"BE:5895","LFS-ADJ - EU Labour Force Survey adjusted series","GRC"
"BA:317","LFS - Labour Force Survey","GRC"
"BB:319","HIES - EU Statistics on Income and Living Conditions","GRC"
"AA:1186","PC - Population Census","GRC"
"DA:13351","ES - Labour Cost Survey","GRC"
"DA:3088","ES - Structure of Earnings Survey","GRC"
"FA:1189","ADM-IR - Insurance Records","GRC"
"FX:3319","ADM - Labour legislation","GRC"
"EB:1191","Other - Special data collection","GRC"
"GA:318","CPS - Consumer Price Survey","GRC"
"XA:6561","ILO - Social Security Inquiry Database","GRC"
"XA:1854","ILO - Modelled Estimates","GRC"
"XA:15791","ILO - Calculations based on information from ILO textual sources","GRC"
"BA:1193","LFS - Labour Force Survey","GRD"
"AA:1192","PC - Population Census","GRD"
"FX:16093","ADM - Legislation du Travail","GRD"
"GA:2367","CPS - Consumer Price Survey","GRD"
"XA:6412","ILO - Social Security Inquiry Database","GRD"
"XA:15842","ILO - Calculations based on information from ILO textual sources","GRD"
"AA:1194","PC - Population Census","GRL"
"FF:1197","ADM-LIR - Labour Inspectorate Records","GRL"
"FJ:2557","ADM-PR - Population Register","GRL"
"FX:2559","ADM - Educational profile","GRL"
"FX:2560","ADM - Employment and Unemployment for permanent residents","GRL"
"EA:1195","OE - Official Estimates","GRL"
"GA:2561","CPS - Consumer Price Survey","GRL"
"XA:16064","ILO - Social Security Inquiry Database","GRL"
"BA:660","LFS - Monthly Employment and Income Survey","GTM"
"BB:5867","HIES - Living Conditions National Survey","GTM"
"BC:2219","CLS - Child Labour Survey","GTM"
"BX:1199","HS - National Socio-Demographic Survey","GTM"
"AA:1198","PC - Population Census","GTM"
"DA:1200","ES - Labour-related Establishment Survey","GTM"
"DA:1201","ES - Other Establishment Survey","GTM"
"FA:1203","ADM-IR - Records of the Guatemalan Social Security Institute","GTM"
"FB:1204","ADM-EOR - Registered persons","GTM"
"FF:1205","ADM-LIR - Labour Inspectorate Records","GTM"
"EA:1202","OE - Official Estimates","GTM"
"GA:2513","CPS - Consumer Price Index","GTM"
"XA:6478","ILO - Social Security Inquiry Database","GTM"
"XA:1956","ILO - Modelled Estimates","GTM"
"XA:15768","ILO - Calculations based on information from ILO textual sources","GTM"
"BA:1206","LFS - Employment Survey","GUF"
"AA:50","PC - Population Census in overseas territories","GUF"
"FB:51","ADM-EOR - Register of the Employment Office","GUF"
"EA:1208","OE - Official Estimates","GUF"
"GA:2369","CPS - Consumer Price Index","GUF"
"XA:15944","ILO - Social Security Inquiry Database","GUF"
"BA:1210","LFS - Current Labour Force Survey","GUM"
"AA:1209","PC - Population Census","GUM"
"DA:1211","ES - Current Employment Survey","GUM"
"FX:1212","ADM - Other Administrative records and related sources","GUM"
"GA:2377","CPS - Consumer Price Survey","GUM"
"XA:1960","ILO - Modelled Estimates","GUM"
"BA:1214","LFS - Labour Force Survey","GUY"
"BX:693","HS - Statistical Yearbook","GUY"
"BX:13101","HS - Multiple Indicator Cluster Survey, UNICEF","GUY"
"AA:1213","PC - Population Census","GUY"
"DA:1215","ES - Labour-related Establishment Survey","GUY"
"FA:1216","ADM-IR - Insurance Records","GUY"
"FB:1218","ADM-EOR - Recruitment and placement statistics","GUY"
"FX:3313","ADM - Labour legislation","GUY"
"FX:1220","ADM - Other Administrative records and related sources","GUY"
"GA:2378","CPS - Consumer Price Survey, Urban areas","GUY"
"XA:6573","ILO - Social Security Inquiry Database","GUY"
"XA:1839","ILO - Modelled Estimates","GUY"
"XA:15846","ILO - Calculations based on information from ILO textual sources","GUY"
"BA:231","LFS - General Household Survey","HKG"
"AA:1221","PC - Population Census","HKG"
"DA:1222","ES - Survey of Employment, Vacancies and Payroll","HKG"
"DA:774","ES - Annual Survey of Economic Activities","HKG"
"FF:233","ADM-LIR - Labour Inspectorate Records","HKG"
"FI:236","ADM-RWO - Trade unions records","HKG"
"FX:7384","ADM - Labour legislation","HKG"
"FX:1224","ADM - Labour Relations Records","HKG"
"FX:235","ADM - Staff Records","HKG"
"EA:8330","OE - Combination of different Sources","HKG"
"GA:2379","CPS - Consumer Price Survey","HKG"
"GA:8290","CPS - Consumer Price Survey, Low Income Group","HKG"
"XA:6482","ILO - Social Security Inquiry Database","HKG"
"XA:1964","ILO - Modelled Estimates","HKG"
"BX:504","HS - Continous Multi-Purpose Household Survey","HND"
"AA:1225","PC - Population Census","HND"
"FF:1228","ADM-LIR - Labour Inspectorate Records","HND"
"FX:799","ADM - Annual report on Workers covered by collective agreements from the Secretariat of Labour and Social Security","HND"
"EB:1229","Other - Special data collection","HND"
"GA:2380","CPS - Consumer Price Index","HND"
"XA:6577","ILO - Social Security Inquiry Database","HND"
"XA:1893","ILO - Modelled Estimates","HND"
"XA:15795","ILO - Calculations based on information from ILO textual sources","HND"
"BE:5897","LFS-ADJ - EU Labour Force Survey adjusted series","HRV"
"BA:2251","LFS - EU Labour Force Survey","HRV"
"BA:561","LFS - Labour Force Survey","HRV"
"BB:5862","HIES - EU Statistics on Income and Living Conditions","HRV"
"AA:1230","PC - Population Census","HRV"
"DA:562","ES - Annual Survey on persons in paid employment and gross and net Earnings","HRV"
"DA:563","ES - Labour cost Survey","HRV"
"DA:15727","ES - Structure of Earnings Survey","HRV"
"FA:569","ADM-IR - Institute of Public Health","HRV"
"FF:2576","ADM-LIR - The State Inspectorate","HRV"
"FX:8324","ADM - Administrative records and related sources","HRV"
"FX:3302","ADM - Labour legislation","HRV"
"FX:14092","ADM - International Migration Statistics","HRV"
"EA:811","OE - Trade Union Records and collective bargaining coverage estimations","HRV"
"GA:567","CPS - Consumer Price Index","HRV"
"XA:6398","ILO - Social Security Inquiry Database","HRV"
"XA:2115","ILO - Modelled Estimates","HRV"
"XA:15850","ILO - Calculations based on information from ILO textual sources","HRV"
"BA:8369","LFS - Labour Force and Informal Economy Survey","HTI"
"BB:7725","HIES - Enquete sur les Conditions de Vie","HTI"
"BB:14099","HIES - Households Living Conditions Survey","HTI"
"BX:13072","HS - Demographic and Health Survey","HTI"
"AA:1233","PC - Population Census","HTI"
"FX:1235","ADM - Administrative records and related sources","HTI"
"FX:3300","ADM - Labour legislation","HTI"
"EA:1234","OE - Official Estimates","HTI"
"GA:2382","CPS - Consumer Price Index, Metropolitan Area","HTI"
"XA:6581","ILO - Social Security Inquiry Database","HTI"
"XA:1858","ILO - Modelled Estimates","HTI"
"XA:16156","ILO - Calculations based on information from ILO textual sources","HTI"
"BE:5899","LFS-ADJ - EU Labour Force Survey adjusted series","HUN"
"BA:656","LFS - Labour Force Survey","HUN"
"BB:3062","HIES - EU Statistics on Income and Living Conditions","HUN"
"BB:6211","HIES - Household Budget Survey","HUN"
"BX:7079","HS - Household or Labour Force Survey","HUN"
"AA:1236","PC - Population Census","HUN"
"AA:14079","PC - MicroCensus","HUN"
"CA:1237","EC - Employment and Earnings Survey","HUN"
"DA:5865","ES - Hungarian Central Statistical Office Establishment Survey","HUN"
"DA:12946","ES - Structure of Earnings Survey","HUN"
"DA:3089","ES - Survey of Individual Wages and Earnings","HUN"
"DA:721","ES - Earnings and employment-related income Survey","HUN"
"FB:1239","ADM-EOR - Registered Unemployment Records","HUN"
"FF:726","ADM-LIR - Labour Inspectorate Records","HUN"
"FJ:15653","ADM-PR - Register of personal data and addresses of the Ministry of Interior","HUN"
"FK:723","ADM-EBR - Business Register","HUN"
"FX:14082","ADM - Administrative Records, National Directorate-General for Aliens Policing","HUN"
"FX:3299","ADM - Labour legislation","HUN"
"FX:8262","ADM - Records of the Ministry of Social Affairs and Labour","HUN"
"EA:13118","OE - Combination of Establishment Survey, annual financial reports and tax information","HUN"
"EA:1238","OE - Official Estimates","HUN"
"EA:14095","OE - Administrative Records, National Institute of Health Insurance Fund Management and the Ministry of Interior","HUN"
"EB:1240","Other - Special data collection","HUN"
"GA:2383","CPS - Consumer Price Survey","HUN"
"JA:725","SNA - National Accounts","HUN"
"XA:6486","ILO - Social Security Inquiry Database","HUN"
"XA:1972","ILO - Modelled Estimates","HUN"
"XA:15757","ILO - Calculations based on information from ILO textual sources","HUN"
"XX:8261","OS - Estimations based on Administrative data, union confederations' self-reported membership and LFS data","HUN"
"BA:510","LFS - National Labour Force Survey","IDN"
"BX:7059","HS - Household or Labour Force Survey","IDN"
"AA:1241","PC - Population Census","IDN"
"FA:1244","ADM-IR - Insurance Records","IDN"
"FB:6665","ADM-EOR - Administrative Records of the National Board on the Placement and Protection of Indonesian Overseas","IDN"
"FB:1245","ADM-EOR - Registered Unemployment Records","IDN"
"FX:816","ADM - Administrative Records","IDN"
"FX:6672","ADM - Administrative Records of the Directorate of Controlling of Foreign Employment, Ministry of Manpower","IDN"
"FX:3296","ADM - Labour legislation","IDN"
"EB:1247","Other - Other Official Sources","IDN"
"GA:512","CPS - Consumer Price Survey, Combined","IDN"
"XA:6585","ILO - Social Security Inquiry Database","IDN"
"XA:1897","ILO - Modelled Estimates","IDN"
"XA:3157","ILO - INWORK Estimates","IDN"
"XA:15854","ILO - Calculations based on information from ILO textual sources","IDN"
"XX:8294","OS - Estimations based on Administrative data","IDN"
"AA:1248","PC - Population Census","IMN"
"DA:1249","ES - Labour-related Establishment Survey","IMN"
"FB:1250","ADM-EOR - Registered Unemployment Records","IMN"
"FF:1251","ADM-LIR - Records of the Health and Safety at Work Inspectorate","IMN"
"FX:1252","ADM - Administrative records and related sources","IMN"
"EA:12826","OE - Unemployment Estimates","IMN"
"GA:2387","CPS - General Index of Retail Prices","IMN"
"JA:7422","SNA - Isle of Man National Income","IMN"
"XA:6439","ILO - Social Security Inquiry Database","IMN"
"BA:14121","LFS - Periodic Labour Force Survey","IND"
"BX:2228","HS - National Sample Survey","IND"
"AA:1253","PC - Population Census","IND"
"DA:1254","ES - Employment market information Survey","IND"
"FA:1257","ADM-IR - Labour Inspectorate Records","IND"
"FF:1259","ADM-LIR - Labour Inspectorate Records","IND"
"FX:15644","ADM - Administrative Record of Ministry of External Affair","IND"
"FX:3291","ADM - Labour legislation","IND"
"EA:548","OE - Official Estimates","IND"
"EB:12984","Other - Estimates from the Institute for Human Development","IND"
"EB:12970","Other - Annual Report of Non-Resident Indian, Ministry of Overseas Indian Affairs","IND"
"EB:1261","Other - Special data collection","IND"
"GA:13382","CPS - Consumer Price Survey","IND"
"GA:2388","CPS - Consumer Price Survey, Industrial Workers","IND"
"GA:8292","CPS - Consumer Price Survey, Non-Manual Employees","IND"
"GA:547","CPS - Consumer Price Survey, Agricultural Workers","IND"
"XA:6589","ILO - Social Security Inquiry Database","IND"
"XA:1976","ILO - Modelled Estimates","IND"
"XA:16141","ILO - Calculations based on information from ILO textual sources","IND"
"XX:8309","OS - Estimations based on the Employment-Unemployment Surveys","IND"
"BE:5881","LFS-ADJ - EU Labour Force Survey adjusted series","IRL"
"BA:772","LFS - EU Labour Force Survey","IRL"
"BA:405","LFS - Quarterly National Household Survey","IRL"
"BB:3073","HIES - EU Statistics on Income and Living Conditions","IRL"
"AA:1262","PC - Population Census","IRL"
"DA:410","ES - Earnings Hours and Employment Costs Survey","IRL"
"DA:3107","ES - National Employment Survey","IRL"
"DA:15731","ES - Structure of Earnings Survey","IRL"
"FF:406","ADM-LIR - Health and Safety Authority Records","IRL"
"FX:3287","ADM - Labour legislation","IRL"
"FX:409","ADM - National Employment Rights Records","IRL"
"FX:408","ADM - Revenue Commissioners Records","IRL"
"EA:1264","OE - Official Estimates","IRL"
"EB:3481","Other - Other Official Sources","IRL"
"EB:1266","Other - Special data collection","IRL"
"GA:2385","CPS - Consumer Price Survey","IRL"
"XA:6490","ILO - Social Security Inquiry Database","IRL"
"XA:1832","ILO - Modelled Estimates","IRL"
"XA:15799","ILO - Calculations based on information from ILO textual sources","IRL"
"XX:8265","OS - Estimations based on Administrative data and information from the National Economic and Social Council","IRL"
"BA:675","LFS - Labour Force Survey","IRN"
"AA:1267","PC - Population Census","IRN"
"DA:1268","ES - Labour-related Establishment Survey","IRN"
"EB:3479","Other - Annual Review","IRN"
"GA:2390","CPS - Consumer Price Survey","IRN"
"XA:6593","ILO - Social Security Inquiry Database","IRN"
"XA:1980","ILO - Modelled Estimates","IRN"
"XA:16160","ILO - Calculations based on information from ILO textual sources","IRN"
"BA:16073","LFS - Labour Force Survey","IRQ"
"BB:3075","HIES - Household Socio-Economic Survey","IRQ"
"BX:7287","HS - Multiple Indicator Cluster Survey, UNICEF","IRQ"
"AA:1270","PC - Population Census","IRQ"
"DA:1272","ES - Labour-related Establishment Survey","IRQ"
"EA:749","OE - Official Estimates","IRQ"
"GA:2389","CPS - Consumer Price Survey","IRQ"
"XA:6416","ILO - Social Security Inquiry Database","IRQ"
"XA:1901","ILO - Modelled Estimates","IRQ"
"XA:15858","ILO - Calculations based on information from ILO textual sources","IRQ"
"BE:5886","LFS-ADJ - EU Labour Force Survey adjusted series","ISL"
"BA:2255","LFS - EU Labour Force Survey","ISL"
"BA:321","LFS - Labour Force Survey","ISL"
"BB:3061","HIES - EU Statistics on Income and Living Conditions","ISL"
"AA:1274","PC - Population Census","ISL"
